Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
CO2 emissions (kt),EN.ATM.CO2E.KT,Iceland,ISL,2163.53,2101.191,2170.864,2167.197,2244.204,2229.536,2299.209,2310.21,2119.526,2053.52,1961.845,1881.171,1870.17,1969.179,,
CO2 emissions (kt),EN.ATM.CO2E.KT,India,IND,1031853.463,1041152.975,1054258.833,1099597.621,1154320.262,1222563.132,1303717.509,1407607.286,1568379.567,1738645.711,1719690.988,1846763.539,2018503.817,2034752.294,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Indonesia,IDN,263418.945,294907.474,306737.216,316792.13,337635.358,341991.754,345119.705,375544.804,416560.199,446409.579,428760.308,573379.454,599539.832,479364.908,,
CO2 emissions (kt),EN.ATM.CO2E.KT,"Iran, Islamic Rep.",IRN,372479.192,398657.905,401991.208,418639.388,447245.655,468990.965,509562.653,560900.653,581945.566,591432.095,605216.348,619165.616,643862.861,616976.417,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Iraq,IRQ,72445.252,85342.091,87259.932,91117.616,114084.037,113522.986,98770.645,62155.65,93149.134,104546.17,112195.532,133929.841,153012.909,167812.921,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Ireland,IRL,41228.081,44029.669,43413.613,42687.547,43761.978,43538.291,43160.59,44638.391,42999.242,40377.337,40241.658,35826.59,35720.247,34964.845,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Isle of Man,IMN,,,,,,,,,,,,,,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Israel,ISR,60259.811,63596.781,59812.437,62889.05,59020.365,56952.177,62471.012,63072.4,68264.872,64469.527,68880.928,69130.284,75529.199,71073.794,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Italy,ITA,450564.29,450347.937,452610.476,468349.24,473970.751,473384.031,469346.664,462676.391,447186.983,401591.505,405361.181,397994.178,369446.583,344767.673,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Jamaica,JAM,10307.937,10615.965,10241.931,10667.303,10670.97,10498.621,11496.045,9651.544,10208.928,7741.037,7256.993,7722.702,7326.666,7726.369,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Japan,JPN,1220527.947,1203377.388,1220047.57,1242093.574,1266009.748,1239255.316,1231495.944,1252229.162,1210135.669,1103693.66,1171841.188,1191056.268,1229574.436,1243384.358,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Jordan,JOR,15507.743,16002.788,16886.535,17469.588,19240.749,21059.581,21121.92,22035.003,21349.274,21891.99,21180.592,21668.303,24858.593,24807.255,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Kazakhstan,KAZ,118099.402,131850.652,133735.49,142209.927,173053.064,177328.786,192631.177,222348.545,186195.592,165906.081,246620.418,259121.221,244720.912,262901.898,,
